"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.272362494E-2,2.747846005E-2,-5.552800122E-2,-1.246655613E-1,1.392118058E-1
2.267262503E-2,2.026780162E-2,-5.436365613E-2,-1.306513560E-1,1.429544253E-1
3.262162511E-2,1.407759195E-2,-5.043401658E-2,-1.173267210E-1,1.284808471E-1
4.257162497E-2,1.490140982E-2,-4.697703305E-2,-1.197211558E-1,1.294683312E-1
5.252062506E-2,1.357868741E-2,-5.991968044E-2,-1.303496397E-1,1.441033567E-1
6.246962491E-2,1.284729210E-2,-5.746501017E-2,-1.200193638E-1,1.336859304E-1
7.241962501E-2,1.177863121E-2,-5.425890874E-2,-1.239089316E-1,1.357799273E-1
8.236862510E-2,1.936105379E-2,-5.747410077E-2,-1.282516587E-1,1.418682862E-1
9.231862496E-2,2.793491746E-2,-6.792149456E-2,-1.194200242E-1,1.401956890E-1
1.022676250E-1,3.803896093E-2,-7.412081310E-2,-1.222646946E-1,1.479510494E-1
1.122166249E-1,4.005194714E-2,-8.688567773E-2,-1.366324729E-1,1.667984176E-1
1.221666250E-1,4.006514906E-2,-1.006010712E-1,-1.233090073E-1,1.641063770E-1
1.321156251E-1,3.358603212E-2,-1.218630822E-1,-9.950733125E-2,1.608736813E-1
1.420646249E-1,2.708760110E-2,-1.282374426E-1,-1.236066306E-1,1.801587604E-1
1.520146250E-1,2.945729488E-2,-1.115594477E-1,-1.481532419E-1,1.877834542E-1
1.619636251E-1,1.845874619E-2,-9.970858511E-2,-1.468019503E-1,1.784190009E-1
1.719136250E-1,3.324848332E-2,-6.473484426E-2,-1.572772372E-1,1.732979834E-1
1.818626251E-1,4.369695520E-2,-4.058668415E-2,-1.084804684E-1,1.237930323E-1
1.918116249E-1,1.424977418E-2,9.138001213E-2,-2.360930264E-2,9.545031091E-2
2.017616250E-1,-6.558629936E-3,3.109912542E-1,-1.372288889E-1,3.399857994E-1
2.117106251E-1,5.703118332E-3,2.842395483E-2,-1.442724448E-1,1.471563288E-1
2.216606250E-1,4.224069701E-2,-3.724109008E-2,-1.541589171E-1,1.641223537E-1
2.316096250E-1,3.279836649E-2,-2.921056978E-2,-8.351051867E-2,9.435569384E-2
2.415586249E-1,3.668010456E-2,-4.749116776E-2,-8.516586542E-2,1.041828475E-1
