"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.035708399E-3,-6.537669495E-2,-8.766730428E-2,8.450454533E-2,1.382052338E-1
1.198570826E-2,-4.434775030E-2,-3.366651356E-2,-1.067689884E-1,1.204150072E-1
2.193470835E-2,2.556949032E-2,6.336218297E-2,-1.764631212E-1,1.892294856E-1
3.188370843E-2,5.480209680E-2,5.756934643E-2,-2.539322966E-1,2.660810229E-1
4.183270829E-2,-3.407921735E-3,1.445314765E-2,-1.130120605E-1,1.139834779E-1
5.178270838E-2,-5.834004600E-3,-8.574123144E-2,-6.764643788E-3,8.620530601E-2
6.173170847E-2,2.590042446E-3,-1.223559111E-1,1.459523499E-1,1.904724803E-1
7.168070832E-2,1.481558366E-2,-1.437532121E-1,1.286042458E-1,1.934516465E-1
8.162970841E-2,4.947676342E-3,-8.232470334E-2,5.731967032E-2,1.004359542E-1
9.157970827E-2,1.791623421E-4,-2.006647468E-2,-1.070087242E-1,1.088740674E-1
1.015287084E-1,4.305231795E-3,4.742559671E-2,-1.861703762E-1,1.921643339E-1
1.114777084E-1,8.750650585E-3,3.769699931E-2,-2.032448307E-1,2.068963480E-1
1.214267083E-1,1.619276740E-2,-1.175641179E-2,-8.814999193E-2,9.039269888E-2
1.313767084E-1,1.891027914E-2,-8.058983445E-2,3.228072345E-2,8.885024018E-2
1.413257085E-1,-5.791118927E-3,-1.233744961E-1,1.199275625E-1,1.721552311E-1
1.512747083E-1,-1.548737392E-2,-1.180745798E-1,1.079928106E-1,1.607604189E-1
1.612237084E-1,-9.626417309E-3,-6.054148614E-2,-6.342767179E-3,6.162929620E-2
1.711737083E-1,-6.567154080E-5,-4.432774186E-3,-1.180529451E-1,1.181361573E-1
1.811227084E-1,2.221443107E-2,4.391142011E-2,-1.870231926E-1,1.933891630E-1
1.910717085E-1,2.134277567E-2,2.210364461E-2,-1.583712512E-1,1.613243267E-1
2.010207083E-1,8.829350453E-3,-2.682527125E-2,-5.003491670E-2,5.745472562E-2
2.109707084E-1,-3.166851997E-3,-8.888410985E-2,5.199870408E-2,1.030256238E-1
2.209197085E-1,-3.954563309E-3,-1.135698849E-1,1.079051024E-1,1.567075890E-1
2.308687083E-1,-2.929820493E-3,-9.311866343E-2,6.477896333E-2,1.134723905E-1
2.408177084E-1,7.496989276E-3,-5.140638113E-2,-2.446094960E-2,5.742089275E-2
2.507677083E-1,1.855710732E-2,-6.498010755E-3,-1.171738163E-1,1.188120095E-1
