Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
8.89E-03,4.30E+01,-7.88E+01,1.85E+02,1.50E+02,NaN,NaN,6.21E-04,8.93E+01,7.61E+00,-1.00E+00
8.89E-03,4.30E+01,-7.88E+01,1.85E+02,1.50E+02,NaN,NaN,2.95E-03,8.93E+01,5.41E+00,-1.00E+00
5.03E-01,4.30E+01,-7.88E+01,1.85E+02,1.50E+02,NaN,NaN,1.60E-02,3.50E+01,5.48E+00,-1.00E+00
2.54E+00,4.30E+01,-7.88E+01,1.78E+02,1.43E+02,0.00E+00,NaN,1.68E-02,2.30E+01,1.20E+01,-1.00E+00
3.53E+00,4.30E+01,-7.88E+01,1.79E+02,1.44E+02,0.00E+00,NaN,1.80E-02,1.97E+01,1.20E+01,-1.00E+00
4.54E+00,4.30E+01,-7.88E+01,1.79E+02,1.44E+02,0.00E+00,NaN,1.88E-02,1.83E+01,1.20E+01,-1.00E+00
5.54E+00,4.30E+01,-7.88E+01,1.79E+02,1.44E+02,0.00E+00,NaN,2.11E-02,1.60E+01,1.20E+01,-1.00E+00
6.54E+00,4.30E+01,-7.88E+01,1.78E+02,1.43E+02,0.00E+00,NaN,2.75E-02,1.63E+01,1.20E+01,-1.00E+00
7.62E+00,4.30E+01,-7.88E+01,1.78E+02,1.43E+02,0.00E+00,1.19E+02,3.59E-02,1.49E+01,1.20E+01,-1.00E+00
8.62E+00,4.30E+01,-7.88E+01,1.77E+02,1.43E+02,8.50E-01,1.04E+02,3.65E-02,1.38E+01,1.20E+01,-1.00E+00
9.62E+00,4.30E+01,-7.88E+01,1.77E+02,1.42E+02,4.60E-01,7.84E+01,3.78E-02,1.37E+01,1.20E+01,-1.00E+00
1.06E+01,4.30E+01,-7.88E+01,1.77E+02,1.42E+02,4.80E-01,NaN,3.99E-02,1.45E+01,1.20E+01,-1.00E+00
1.16E+01,4.30E+01,-7.88E+01,1.77E+02,1.42E+02,1.90E-01,5.24E+01,4.31E-02,1.58E+01,1.20E+01,-1.00E+00
1.26E+01,4.30E+01,-7.88E+01,1.77E+02,1.43E+02,4.80E-01,3.46E+02,4.31E-02,1.70E+01,1.20E+01,-1.00E+00
1.36E+01,4.30E+01,-7.88E+01,1.77E+02,1.43E+02,4.80E-01,NaN,4.61E-02,1.70E+01,1.20E+01,-1.00E+00
1.46E+01,4.30E+01,-7.88E+01,1.76E+02,1.42E+02,1.49E+00,3.02E+01,5.09E-02,1.72E+01,1.20E+01,-1.00E+00
1.56E+01,4.30E+01,-7.88E+01,1.76E+02,1.41E+02,2.21E+00,2.32E+01,5.20E-02,1.66E+01,1.20E+01,-1.00E+00
1.66E+01,4.30E+01,-7.88E+01,1.76E+02,1.41E+02,1.57E+00,NaN,5.59E-02,1.79E+01,1.20E+01,-1.00E+00
1.76E+01,4.30E+01,-7.88E+01,1.76E+02,1.41E+02,1.90E+00,1.90E+01,5.64E-02,1.60E+01,8.00E+00,-1.00E+00
1.86E+01,4.30E+01,-7.88E+01,1.76E+02,1.41E+02,1.50E+00,NaN,6.26E-02,1.63E+01,8.00E+00,-1.00E+00
1.96E+01,4.30E+01,-7.88E+01,1.76E+02,1.42E+02,3.67E+00,2.11E+00,6.37E-02,1.46E+01,8.00E+00,-1.00E+00
2.06E+01,4.30E+01,-7.88E+01,1.77E+02,1.42E+02,1.50E+00,3.58E+02,,1.41E+01,8.00E+00,-1.00E+00
