"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.635958318E-3,-1.500922928E-2,-2.403398409E-2,-1.540115672E-1,1.565965268E-1
1.769395830E-2,-2.013075522E-2,-1.199189926E-2,-1.387421483E-1,1.407069176E-1
2.775195829E-2,-2.198246563E-2,-1.770518627E-4,-1.457775182E-1,1.474257269E-1
3.780995833E-2,-1.721295806E-2,-4.541642033E-3,-1.400887620E-1,1.412153451E-1
4.786795832E-2,-2.239640054E-2,-1.387585388E-2,-1.393397337E-1,1.418086721E-1
5.792595830E-2,-7.855706820E-3,-4.452883126E-3,-1.460757262E-1,1.463545629E-1
6.798395829E-2,2.914978615E-3,-6.517434474E-3,-1.447291124E-1,1.449051070E-1
7.804195833E-2,-3.570001528E-3,-1.644945103E-2,-1.444309044E-1,1.454084437E-1
8.809995832E-2,2.130067572E-3,-1.356722139E-2,-1.529660851E-1,1.535813461E-1
9.815795830E-2,-4.183753605E-3,-1.007808731E-2,-1.466797435E-1,1.470850733E-1
1.082159583E-1,-1.817647414E-2,-9.274533698E-3,-1.567100573E-1,1.580330448E-1
1.182739583E-1,-1.899788916E-2,-1.015953720E-4,-1.484801012E-1,1.496905828E-1
1.283319583E-1,-1.962601945E-2,-7.511744360E-3,-1.426434106E-1,1.441830417E-1
1.383899583E-1,-2.375015887E-2,-1.137567583E-2,-1.552178478E-1,1.574358801E-1
1.484479583E-1,-2.820170810E-2,-2.064524853E-2,-1.293222839E-1,1.339619936E-1
1.585059583E-1,-1.220784196E-2,-1.756213962E-2,-1.474357885E-1,1.489790988E-1
1.685639583E-1,-6.671670775E-3,-8.729070704E-4,-1.501313549E-1,1.502820578E-1
1.786219583E-1,-1.376800016E-3,-6.443723012E-3,-1.371101904E-1,1.372684285E-1
1.886799583E-1,-1.666553991E-2,-1.015577305E-2,-1.568702710E-1,1.580796061E-1
1.987379583E-1,-1.681471014E-2,-9.523131726E-3,-1.496857971E-1,1.509280039E-1
2.087959583E-1,-7.104476653E-3,-2.728859000E-3,-1.459418249E-1,1.461401263E-1
2.188539583E-1,-6.331995511E-3,-2.259555990E-3,-1.538782507E-1,1.540250493E-1
2.289119583E-1,-8.813142702E-3,-8.388927206E-3,-1.416049451E-1,1.421267253E-1
2.389699583E-1,-9.417968639E-4,-1.287044342E-2,-1.393596143E-1,1.399558408E-1
2.490279583E-1,-1.495856178E-2,-7.855003327E-3,-1.428042090E-1,1.438002147E-1
2.590859583E-1,-6.658091987E-3,-2.386385752E-3,-1.324768567E-1,1.326655290E-1
2.691439583E-1,-1.534336796E-2,-5.307115652E-3,-1.360682166E-1,1.370333681E-1
2.792019583E-1,-1.619564075E-2,-5.990572935E-3,-1.443005115E-1,1.453300497E-1
2.892599583E-1,-5.287408708E-3,-6.328231366E-3,-1.393625379E-1,1.396063042E-1
2.993179583E-1,-1.145257585E-2,-1.061539161E-2,-1.504430115E-1,1.512512735E-1
3.093759583E-1,-1.568053760E-2,-1.380499293E-2,-1.543343335E-1,1.557419134E-1
3.194339583E-1,-1.708420740E-2,-8.260790957E-3,-1.481994349E-1,1.494094485E-1
3.294919583E-1,-2.066278104E-2,-5.515842978E-4,-1.631712306E-1,1.644752420E-1
3.395499583E-1,-1.315205309E-2,-1.790444842E-3,-1.558382374E-1,1.564024886E-1
3.496079583E-1,-6.597456818E-3,-1.339480162E-2,-1.552406520E-1,1.559570684E-1
3.596659583E-1,-1.078798726E-2,-1.539611167E-2,-1.396724403E-1,1.409319392E-1
3.697239583E-1,-1.515607433E-3,-1.730108885E-2,-1.366769117E-1,1.377759157E-1
3.797819583E-1,-1.174647152E-2,-7.681002980E-3,-1.335316944E-1,1.342672366E-1
3.898399583E-1,-1.261172240E-2,-2.523767911E-3,-1.354770631E-1,1.360862211E-1
3.998990416E-1,-8.904350130E-3,-1.129311131E-2,-1.288890052E-1,1.296888487E-1
4.099570417E-1,-1.784234687E-2,-1.180695366E-2,-1.449051136E-1,1.464760917E-1
4.200150417E-1,-1.659962397E-2,2.328763269E-3,-1.350268275E-1,1.360632749E-1
4.300730416E-1,-9.364519150E-3,-5.643696003E-3,-1.341286951E-1,1.345735947E-1
4.401310416E-1,-1.308860851E-2,-4.486495480E-3,-1.556850404E-1,1.562986632E-1
4.501890417E-1,-1.066299160E-2,-7.354582166E-3,-1.564328992E-1,1.569682810E-1
4.602470417E-1,-8.716302761E-3,-2.134105805E-3,-1.395151502E-1,1.398034530E-1
4.703050416E-1,-3.247698890E-3,-2.253434686E-3,-1.487935120E-1,1.488460101E-1
4.803630416E-1,-4.028199397E-3,-4.940358186E-3,-1.457979834E-1,1.459372656E-1
4.904210417E-1,-1.634442955E-2,-4.495695708E-3,-1.469954932E-1,1.479696816E-1
5.004790417E-1,-1.586042171E-2,-1.355298707E-2,-1.513370508E-1,1.527682538E-1
5.105370416E-1,-2.351106028E-4,-7.860704362E-3,-1.302286023E-1,1.304658377E-1
5.205950416E-1,-1.900537634E-2,-6.777882250E-3,-1.405577087E-1,1.419986391E-1
5.306530417E-1,-2.209247323E-2,-1.136463921E-2,-1.339743286E-1,1.362584057E-1
