"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.464479167E-2,-1.988374005E-2,1.168597568E-1,-9.336249232E-2,1.508910894E-1
3.470279172E-2,-4.315715213E-2,1.143983805E-1,-1.713491464E-1,2.104995468E-1
4.476079170E-2,-2.922730287E-2,1.124566299E-1,-1.611703134E-1,1.986871882E-1
5.481879169E-2,-4.362994063E-2,1.102964491E-1,-1.188072360E-1,1.678810225E-1
6.487679167E-2,-5.383794576E-2,1.204752821E-1,-1.652107394E-1,2.114412600E-1
7.493479172E-2,-4.146491310E-2,1.295790680E-1,-1.295842391E-1,1.878886609E-1
8.499379171E-2,-2.820451522E-2,1.234824686E-1,-1.360202694E-1,1.858626601E-1
9.505179169E-2,-3.634874559E-2,1.143797974E-1,-1.652084005E-1,2.042003549E-1
1.051097917E-1,-4.286058866E-2,9.994504103E-2,-1.470960653E-1,1.829297507E-1
1.151677917E-1,-4.680227896E-2,1.004369198E-1,-1.652084005E-1,1.989267296E-1
1.252257917E-1,-5.018694431E-2,1.174865783E-1,-1.580227572E-1,2.032068337E-1
1.352837917E-1,-4.444762805E-2,1.247123390E-1,-1.744879317E-1,2.190314988E-1
1.453417917E-1,-2.921029570E-2,1.284585587E-1,-1.400589412E-1,1.922793533E-1
1.554007917E-1,-4.882343757E-2,1.196651230E-1,-1.610147774E-1,2.064684680E-1
1.654587917E-1,-5.423091976E-2,1.161696027E-1,-1.464943868E-1,1.946714530E-1
1.755167917E-1,-4.155268529E-2,1.149344606E-1,-1.499366426E-1,1.934361721E-1
1.855747917E-1,-4.379223741E-2,1.073102761E-1,-1.388596773E-1,1.808736172E-1
1.956327917E-1,-2.485199813E-2,1.117816419E-1,-1.550254744E-1,1.927320809E-1
2.056907917E-1,-2.520112716E-2,1.197348602E-1,-1.217945784E-1,1.726425582E-1
2.157497917E-1,-3.907640773E-2,1.181819676E-1,-1.481392086E-1,1.934920366E-1
2.258077917E-1,-3.846867646E-2,1.006597261E-1,-1.455939156E-1,1.811347779E-1
2.358657917E-1,-3.400525464E-2,1.007679727E-1,-1.568199849E-1,1.894809999E-1
2.459237917E-1,-2.839042927E-2,1.161451266E-1,-1.367616963E-1,1.816575583E-1
2.559817917E-1,-3.346237721E-2,1.323269670E-1,-1.360126680E-1,1.926904324E-1
2.660397917E-1,-2.429116336E-2,1.377880471E-1,-1.300257039E-1,1.910033775E-1
2.760977917E-1,-3.789303635E-2,1.288402358E-1,-1.388573384E-1,1.931762123E-1
2.861567917E-1,-4.304983288E-2,1.153281426E-1,-1.387070650E-1,1.854548961E-1
2.962147917E-1,-4.387148088E-2,1.155055143E-1,-1.319699031E-1,1.807824272E-1
3.062727917E-1,-4.640163962E-2,1.049008304E-1,-1.593629390E-1,1.963513247E-1
3.163307917E-1,-3.789670457E-2,1.085095492E-1,-1.451413411E-1,1.851391136E-1
3.263887917E-1,-4.428585204E-2,1.198070093E-1,-1.650493562E-1,2.087013324E-1
3.364467917E-1,-5.208214567E-2,1.058911477E-1,-1.604078364E-1,1.991385424E-1
3.465047917E-1,-4.192000464E-2,1.100558453E-1,-1.666935933E-1,2.040988239E-1
3.565637917E-1,-3.999014938E-2,1.185751198E-1,-1.616035920E-1,2.043893149E-1
3.666217917E-1,-2.995610805E-2,1.143745714E-1,-1.431918794E-1,1.856955178E-1
3.766797917E-1,-2.899623279E-2,1.150064179E-1,-1.378025007E-1,1.818152548E-1
3.867377917E-1,-4.458418338E-2,1.150448359E-1,-1.253777522E-1,1.759052143E-1
3.967957917E-1,-4.349099160E-2,1.025465586E-1,-1.300169331E-1,1.712065008E-1
4.068537917E-1,-4.027848564E-2,1.146418988E-1,-1.270231587E-1,1.757839703E-1
4.169117917E-1,-3.776560360E-2,1.150310950E-1,-1.497758442E-1,1.925907504E-1
4.269707917E-1,-2.387657293E-2,9.660458154E-2,-1.535168928E-1,1.829480043E-1
4.370287917E-1,-3.737715205E-2,9.766757794E-2,-1.604025739E-1,1.914810513E-1
4.470867917E-1,-2.673953873E-2,1.059511274E-1,-1.458821833E-1,1.822697334E-1
4.571447917E-1,-2.687038617E-2,1.131911406E-1,-1.511207038E-1,1.907137098E-1
4.672027917E-1,-3.627132480E-2,1.209276830E-1,-1.487250996E-1,1.950852859E-1
4.772607917E-1,-3.551229910E-2,1.241760123E-1,-1.505207795E-1,1.983363569E-1
4.873197917E-1,-2.281780434E-2,1.236696434E-1,-1.331563032E-1,1.831541263E-1
4.973777917E-1,-2.972494889E-2,1.242688643E-1,-1.379457575E-1,1.880301977E-1
5.074357917E-1,-3.662969973E-2,1.141660725E-1,-1.291141230E-1,1.761989891E-1
5.174937917E-1,-3.849947941E-2,1.084795913E-1,-1.451308161E-1,1.852376458E-1
5.275517917E-1,-3.835636424E-2,1.157396039E-1,-1.464780146E-1,1.905850869E-1
5.376097917E-1,-3.060737367E-2,1.034677783E-1,-1.572544330E-1,1.907127400E-1
5.476677917E-1,-3.590849136E-2,9.861621559E-2,-1.678823322E-1,1.979875127E-1
5.577267917E-1,-2.360092468E-2,1.031611101E-1,-1.633910859E-1,1.946686036E-1
5.677847917E-1,-2.714080848E-2,9.960557361E-2,-1.553078949E-1,1.864897745E-1
5.778427917E-1,-4.442909512E-2,1.036312902E-1,-1.506669599E-1,1.881858698E-1
5.879007917E-1,-4.482366341E-2,1.130455084E-1,-1.469241571E-1,1.907227195E-1
5.979587917E-1,-4.142606566E-2,1.119468531E-1,-1.279125202E-1,1.749566508E-1
6.080167083E-1,-4.078820296E-2,1.117159521E-1,-1.403355145E-1,1.839515917E-1
6.180747084E-1,-2.719876672E-2,1.050201775E-1,-1.418324018E-1,1.785649484E-1
6.281337084E-1,-3.320900091E-2,9.753205044E-2,-1.373411554E-1,1.716913847E-1
6.381917084E-1,-3.784614899E-2,1.024759078E-1,-1.529081976E-1,1.879216847E-1
6.482497083E-1,-2.913884089E-2,1.115081201E-1,-1.497635651E-1,1.889768724E-1
6.583077083E-1,-3.641411791E-2,1.056463412E-1,-1.503617352E-1,1.873387008E-1
6.683657084E-1,-3.592180063E-2,1.139413841E-1,-1.472182721E-1,1.895949219E-1
6.784237084E-1,-2.879691354E-2,1.160453311E-1,-1.554505670E-1,1.961138952E-1
6.884817083E-1,-2.925703688E-2,1.174245156E-1,-1.434748846E-1,1.876953212E-1
6.985407083E-1,-2.954022027E-2,1.185930086E-1,-1.294035602E-1,1.779949653E-1
7.085987084E-1,-3.937773577E-2,1.132067545E-1,-1.412283844E-1,1.852345321E-1
7.186567084E-1,-2.721094765E-2,1.081397767E-1,-1.488619244E-1,1.859960202E-1
7.287147084E-1,-3.178964642E-2,1.118282369E-1,-1.418259698E-1,1.833868640E-1
7.387727083E-1,-4.706542650E-2,1.043766184E-1,-1.490104437E-1,1.879195178E-1
7.488307084E-1,-3.626321178E-2,1.022455641E-1,-1.379328936E-1,1.754840706E-1
7.588887084E-1,-4.427429466E-2,9.628357854E-2,-1.460154998E-1,1.804196964E-1
