"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.031470834E-2,2.637435956E-2,1.983941450E-1,-1.097767961E-1,2.282691144E-1
2.037370834E-2,-4.148740204E-2,2.029534201E-1,-1.513914299E-1,2.565748629E-1
3.043170832E-2,-3.380760505E-2,2.357375522E-1,-1.488449675E-1,2.808379818E-1
4.048970831E-2,5.337956973E-2,2.043777287E-1,-1.653089726E-1,2.682288032E-1
5.054770835E-2,6.460087907E-2,2.139573317E-1,-1.507879972E-1,2.696071837E-1
6.060670834E-2,-3.637927445E-3,2.750969880E-1,-8.881628215E-2,2.891019186E-1
7.066470833E-2,-4.939609012E-2,2.386721967E-1,-1.410576457E-1,2.816054875E-1
8.072270831E-2,-4.638824584E-3,2.153518561E-1,-1.938960099E-1,2.898164993E-1
9.078070830E-2,4.823872514E-2,2.068891078E-1,-1.265366703E-1,2.472682885E-1
1.008387083E-1,2.382300924E-2,2.029057104E-1,-1.528801310E-1,2.551677831E-1
1.108977083E-1,-3.612333999E-2,1.968043236E-1,-1.730886930E-1,2.645685793E-1
1.209557083E-1,-3.657490036E-2,2.077779942E-1,-1.374633622E-1,2.518046747E-1
1.310135000E-1,1.677813764E-2,2.233924537E-1,-1.611147648E-1,2.759414100E-1
1.410715000E-1,6.452800814E-2,2.384355124E-1,-8.297783732E-2,2.605775870E-1
1.511305000E-1,-5.348420748E-2,2.169578122E-1,-1.193521965E-1,2.533302183E-1
1.611885000E-1,-5.474388046E-2,1.988892032E-1,-1.892550749E-1,2.799487291E-1
1.712465000E-1,5.669264780E-2,2.063341522E-1,-1.813215727E-1,2.804734415E-1
1.813045000E-1,6.442171672E-2,2.537081107E-1,-1.121735698E-1,2.847821497E-1
1.913635000E-1,1.087584852E-2,2.315212347E-1,-1.347835833E-1,2.681174752E-1
2.014215000E-1,-2.455061300E-2,2.054845701E-1,-1.768531305E-1,2.722198944E-1
2.114795000E-1,-2.994524502E-2,2.280240515E-1,-1.322546625E-1,2.652979109E-1
2.215375000E-1,6.925597535E-3,1.928124843E-1,-1.686401314E-1,2.562500964E-1
2.315955000E-1,6.116894720E-2,2.022435315E-1,-1.382579988E-1,2.525061591E-1
2.416545000E-1,-2.631475450E-3,2.195552002E-1,-1.171565670E-1,2.488715970E-1
2.517125000E-1,-4.033064006E-2,2.207074854E-1,-1.571322262E-1,2.739140215E-1
2.617705000E-1,1.018791446E-2,2.391919776E-1,-1.375335288E-1,2.761015525E-1
2.718285000E-1,4.626073086E-2,2.447989458E-1,-1.125442833E-1,2.733729957E-1
2.818875000E-1,2.453376571E-2,2.292801248E-1,-1.532660472E-1,2.768786061E-1
2.919455000E-1,-8.362687826E-3,1.750301148E-1,-2.200324792E-1,2.812823626E-1
3.020035000E-1,-4.548046561E-3,1.831854823E-1,-1.984825659E-1,2.701350303E-1
3.120615000E-1,4.077916718E-2,2.218502323E-1,-6.377031863E-2,2.344080195E-1
3.221205000E-1,1.985978474E-2,2.198673684E-1,-1.387702149E-1,2.607551405E-1
3.321785000E-1,-4.507096865E-2,2.149726642E-1,-1.389257509E-1,2.598942147E-1
3.422365000E-1,-4.529012047E-2,2.007664883E-1,-1.488128078E-1,2.539756477E-1
3.522945000E-1,2.521546883E-2,1.989304809E-1,-1.648376870E-1,2.595777709E-1
3.623525000E-1,7.942522441E-2,1.909689669E-1,-1.631969583E-1,2.634592184E-1
3.724115000E-1,2.274716724E-2,2.120705814E-1,-1.594594181E-1,2.663055973E-1
3.824695000E-1,-3.755399834E-2,2.163476370E-1,-1.440479118E-1,2.626145535E-1
3.925275000E-1,-2.915322139E-2,2.056252322E-1,-1.510897136E-1,2.568262992E-1
