"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.479221582E-1,4.300158690E1,-7.879123569E1,1.835245361E2,1.488132833E2,8.000000119E-1,2.482031250E2,1.754911039E-4,6.345198046E0,6.000000000E0,-1.000000000E0
1.250922918E0,4.300158727E1,-7.879123360E1,1.834680176E2,1.487567646E2,8.100000024E-1,3.691406250E1,1.288690343E-3,6.455426028E0,6.000000000E0,-1.000000000E0
2.250920534E0,4.300159151E1,-7.879122119E1,1.839345703E2,1.492233128E2,8.100000024E-1,6.714843750E1,2.700770549E-3,4.824397378E0,6.000000000E0,-1.000000000E0
3.250918865E0,4.300159482E1,-7.879120443E1,1.844689941E2,1.497577349E2,9.900000095E-1,7.136718750E1,4.320800845E-3,3.874578255E0,4.000000000E0,-1.000000000E0
4.250917435E0,4.300159951E1,-7.879118557E1,1.858245239E2,1.511132610E2,1.149999976E0,7.031250000E1,5.866932346E-3,3.578575242E0,3.000000000E0,-1.000000000E0
5.250917315E0,4.300160446E1,-7.879116780E1,1.852913818E2,1.505801144E2,1.120000005E0,6.644531250E1,7.496221758E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.250914335E0,4.300161146E1,-7.879115020E1,1.855281982E2,1.508169226E2,1.220000029E0,6.222656250E1,9.144732842E-3,3.535533906E0,3.000000000E0,-1.000000000E0
7.250914097E0,4.300161825E1,-7.879113218E1,1.859375610E2,1.512262777E2,1.220000029E0,6.257812500E1,1.079609846E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.250913143E0,4.300162390E1,-7.879111340E1,1.858199463E2,1.511086575E2,1.269999981E0,6.574218750E1,1.234149428E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.250913024E0,4.300162914E1,-7.879109580E1,1.859946289E2,1.512833351E2,1.269999981E0,6.820312500E1,1.384023911E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.025091398E1,4.300163417E1,-7.879107870E1,1.862514648E2,1.515401663E2,1.250000000E0,7.066406250E1,1.535793149E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.125091386E1,4.300163991E1,-7.879106177E1,1.863734131E2,1.516621084E2,1.269999981E0,6.996093750E1,1.682334151E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.225091398E1,4.300164490E1,-7.879104509E1,1.862896729E2,1.515783634E2,1.269999981E0,7.066406250E1,1.809041584E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.325091493E1,4.300164869E1,-7.879103039E1,1.862896730E2,1.515783604E2,1.269999981E0,7.066407252E1,1.956653229E-2,4.596103337E0,3.563758009E0,-1.000000000E0
1.425091493E1,4.300165367E1,-7.879101357E1,1.867542726E2,1.520429553E2,1.269999981E0,7.136719757E1,2.094864699E-2,4.596103318E0,3.563758034E0,-1.000000000E0
1.525091362E1,4.300165608E1,-7.879099690E1,1.869271242E2,1.522158067E2,1.240000010E0,7.593751006E1,2.236381112E-2,4.596103299E0,3.563758058E0,-1.000000000E0
1.625091588E1,4.300165779E1,-7.879097965E1,1.870576173E2,1.523463011E2,1.240000010E0,7.839844766E1,2.384214967E-2,4.596103280E0,3.563758082E0,-1.000000000E0
1.725091636E1,4.300165663E1,-7.879096154E1,1.859968874E2,1.512855777E2,1.240000010E0,8.226563528E1,2.526788428E-2,4.596103262E0,3.563758106E0,-1.000000000E0
1.825092041E1,4.300165659E1,-7.879094401E1,1.853970949E2,1.506857897E2,1.240000010E0,8.050782273E1,2.672104994E-2,4.596103243E0,3.563758130E0,-1.000000000E0
1.925091481E1,4.300165677E1,-7.879092614E1,1.854122316E2,1.507009306E2,1.279999971E0,7.945313553E1,2.818298076E-2,4.596103225E0,3.563758154E0,-1.000000000E0
2.025091350E1,4.300165689E1,-7.879090816E1,1.853087160E2,1.505974193E2,1.299999952E0,7.734376061E1,2.949554180E-2,4.596103206E0,3.563758178E0,-1.000000000E0
2.125091493E1,4.300165517E1,-7.879089220E1,1.855693361E2,1.508580465E2,1.279999971E0,8.121094808E1,3.079421321E-2,4.596103189E0,3.563758200E0,-1.000000000E0
2.225091541E1,4.300165298E1,-7.879087651E1,1.855851442E2,1.508738625E2,1.269999981E0,8.542969809E1,3.215837981E-2,4.596103173E0,3.563758220E0,-1.000000000E0
2.325091600E1,4.300165210E1,-7.879085978E1,1.854631960E2,1.507519201E2,1.259999990E0,8.578126051E1,3.253585839E-2,4.596103156E0,3.563758243E0,-1.000000000E0
2.425091612E1,4.300165383E1,-7.879085578E1,1.848640137E2,1.501527357E2,6.299999952E-1,7.628906762E1,3.433381587E-2,4.596103147E0,3.563758254E0,-1.000000000E0
2.525091624E1,4.300166759E1,-7.879084418E1,1.846577761E2,1.499464762E2,1.289999962E0,4.394531999E1,3.536536743E-2,4.596103134E0,3.563758272E0,-1.000000000E0
2.625091779E1,4.300167652E1,-7.879084764E1,1.842189942E2,1.495076774E2,8.899999857E-1,1.406250181E1,3.716890111E-2,4.596103130E0,3.563758276E0,-1.000000000E0
2.725091767E1,4.300169273E1,-7.879084845E1,1.843181764E2,1.496068301E2,1.289999962E0,4.570313360E0,3.900149888E-2,4.596103125E0,3.563758282E0,-1.000000000E0
2.825091779E1,4.300170908E1,-7.879084568E1,1.842563479E2,1.495449728E2,1.460000038E0,8.085939218E0,4.074222087E-2,4.596103118E0,3.563758292E0,-1.000000000E0
2.925091839E1,4.300172454E1,-7.879084225E1,1.841158449E2,1.494044428E2,1.460000038E0,1.160156496E1,4.242822858E-2,4.596103110E0,3.563758302E0,-1.000000000E0
3.025091910E1,4.300173907E1,-7.879083634E1,1.844249270E2,1.497135001E2,1.460000038E0,1.757812869E1,4.419798485E-2,4.596103100E0,3.563758315E0,-1.000000000E0
3.125091994E1,4.300175431E1,-7.879083005E1,1.847139895E2,1.500025367E2,1.460000038E0,1.898437897E1,4.566663066E-2,4.596103089E0,3.563758329E0,-1.000000000E0
3.225091994E1,4.300176545E1,-7.879082036E1,1.845802004E2,1.498687300E2,1.250000000E0,2.917969260E1,5.389802058E-2,4.596103075E0,3.563758347E0,-1.000000000E0
3.325092101E1,4.300183368E1,-7.879078111E1,1.860556638E2,1.513440803E2,1.229942506E0,5.371137063E1,5.557450662E-2,4.764471086E0,3.335318920E0,-1.000000000E0
3.425092101E1,4.300184693E1,-7.879077127E1,1.860331563E2,1.513215514E2,1.392276604E0,3.523374713E1,5.710832644E-2,4.761851832E0,3.339057377E0,-1.000000000E0
3.525092053E1,4.300185258E1,-7.879075406E1,1.861297454E2,1.514181346E2,1.338301779E0,4.491061488E1,5.894041891E-2,4.757920649E0,3.344656653E0,-1.000000000E0
