"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.133058548E-3,4.300018431E1,-7.878964087E1,1.800802002E2,1.453718783E2,0.000000000E0,NaN,3.320455972E-3,4.596102334E0,3.563759303E0,-1.000000000E0
6.672785282E-1,4.300015602E1,-7.878962779E1,1.834725952E2,1.487643276E2,6.999999881E-1,1.800000000E2,3.939480277E-3,5.099093906E0,6.000000000E0,-1.000000000E0
1.989304781E0,4.300015112E1,-7.878962419E1,1.829494629E2,1.482412050E2,8.199999928E-1,1.722656250E2,4.627497910E-3,4.536876399E0,6.000000000E0,-1.000000000E0
2.989336252E0,4.300014504E1,-7.878962260E1,1.803900757E2,1.456818292E2,8.199999928E-1,1.726171875E2,5.329832329E-3,3.535533906E0,4.000000000E0,-1.000000000E0
3.989365697E0,4.300013876E1,-7.878962176E1,1.791697388E2,1.444615038E2,1.090000033E0,1.740234375E2,6.090533016E-3,3.535533906E0,3.000000000E0,-1.000000000E0
4.989395142E0,4.300013192E1,-7.878962126E1,1.789635620E2,1.442553395E2,1.000000000E0,1.761328125E2,6.907449643E-3,3.535533906E0,3.000000000E0,-1.000000000E0
5.989424467E0,4.300012459E1,-7.878962067E1,1.782355347E2,1.435273255E2,1.080000043E0,1.771875000E2,7.903420943E-3,3.535533906E0,3.000000000E0,-1.000000000E0
6.989450932E0,4.300011566E1,-7.878961966E1,1.781788330E2,1.434706402E2,1.080000043E0,1.754296875E2,9.106216296E-3,3.535533906E0,3.000000000E0,-1.000000000E0
7.989475489E0,4.300010485E1,-7.878962008E1,1.781505127E2,1.434423393E2,1.159999967E0,1.785937500E2,1.019974917E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.989495397E0,4.300009504E1,-7.878962109E1,1.780203857E2,1.433122298E2,1.149999976E0,1.810546875E2,1.125466118E-2,3.535533906E0,3.000000000E0,-1.000000000E0
