"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.610006571E-1,4.300271190E1,-7.879209835E1,1.804723060E2,1.457588081E2,1.281347604E0,2.221770142E2,1.145704607E-3,4.711152909E0,3.410216313E0,-1.000000000E0
1.360997081E0,4.300270332E1,-7.879210616E1,1.804402283E2,1.457267438E2,1.204142510E0,2.196050986E2,2.512344052E-3,4.710533009E0,3.411072530E0,-1.000000000E0
2.360994101E0,4.300269216E1,-7.879211318E1,1.807157024E2,1.460022363E2,1.271349619E0,2.133213650E2,4.156493795E-3,4.709450849E0,3.412566443E0,-1.000000000E0
3.360991120E0,4.300267854E1,-7.879212105E1,1.801526698E2,1.454392264E2,1.433760468E0,2.074403312E2,5.670594877E-3,4.710143029E0,3.411611010E0,-1.000000000E0
4.360988021E0,4.300266777E1,-7.879213245E1,1.799222930E2,1.452088661E2,1.336002079E0,2.121907386E2,7.505546072E-3,4.705858564E0,3.417518429E0,-1.000000000E0
5.360986233E0,4.300265205E1,-7.879213930E1,1.798655131E2,1.451521128E2,1.564357578E0,2.064372767E2,8.970257271E-3,4.706457318E0,3.416693803E0,-1.000000000E0
6.360984206E0,4.300264339E1,-7.879215288E1,1.797704968E2,1.450571087E2,1.442661960E0,2.165917354E2,1.052010440E-2,4.703442870E0,3.420842324E0,-1.000000000E0
7.360982060E0,4.300263154E1,-7.879216290E1,1.796552667E2,1.449418974E2,1.523811581E0,2.151844671E2,1.200622668E-2,4.705873741E0,3.417497530E0,-1.000000000E0
8.360980392E0,4.300261866E1,-7.879216779E1,1.800192516E2,1.453059043E2,1.425111043E0,2.091541626E2,1.345783846E-2,4.701963181E0,3.422875878E0,-1.000000000E0
9.360978246E0,4.300260586E1,-7.879217126E1,1.799737159E2,1.452603909E2,1.403346507E0,2.031668442E2,1.489045191E-2,4.704837750E0,3.418923629E0,-1.000000000E0
1.036097741E1,4.300259331E1,-7.879217526E1,1.802516781E2,1.455383747E2,1.373742676E0,1.998478367E2,1.655859310E-2,4.708632127E0,3.413696021E0,-1.000000000E0
1.136097610E1,4.300257923E1,-7.879218233E1,1.800515239E2,1.453382441E2,1.479084681E0,2.002501236E2,1.814311186E-2,4.704666347E0,3.419159487E0,-1.000000000E0
1.236097443E1,4.300256766E1,-7.879219372E1,1.801095699E2,1.453963080E2,1.487040017E0,2.070185822E2,1.957268720E-2,4.699011190E0,3.426927321E0,-1.000000000E0
1.336097360E1,4.300255716E1,-7.879220385E1,1.798194243E2,1.451061788E2,1.426143525E0,2.122506651E2,2.109705583E-2,4.696352301E0,3.430570229E0,-1.000000000E0
1.436097336E1,4.300254661E1,-7.879221582E1,1.798635313E2,1.451503019E2,1.491477595E0,2.169704112E2,2.258199165E-2,4.699634735E0,3.426072151E0,-1.000000000E0
1.536097276E1,4.300253573E1,-7.879222641E1,1.798073730E2,1.450941606E2,1.468638607E0,2.179595611E2,2.404388711E-2,4.696748845E0,3.430027306E0,-1.000000000E0
1.636097157E1,4.300252487E1,-7.879223654E1,1.795387310E2,1.448255355E2,1.485114433E0,2.181317772E2,2.538259873E-2,4.698420566E0,3.427737041E0,-1.000000000E0
1.736097109E1,4.300251431E1,-7.879224446E1,1.794411883E2,1.447280099E2,1.408182581E0,2.146183225E2,2.666864040E-2,4.697018914E0,3.429657469E0,-1.000000000E0
1.836097050E1,4.300250743E1,-7.879225717E1,1.796203712E2,1.449072020E2,1.335043271E0,2.233765332E2,2.821944918E-2,4.703095529E0,3.421319845E0,-1.000000000E0
1.936096990E1,4.300249753E1,-7.879227060E1,1.793972889E2,1.446841342E2,1.399498311E0,2.239966629E2,2.988603652E-2,4.704460162E0,3.419443173E0,-1.000000000E0
2.036097026E1,4.300248623E1,-7.879228407E1,1.781296987E2,1.434165610E2,1.380504551E0,2.230187279E2,3.140370437E-2,4.703031556E0,3.421407783E0,-1.000000000E0
2.136097002E1,4.300247411E1,-7.879229266E1,1.782601073E2,1.435469893E2,1.419708104E0,2.168208064E2,3.332654892E-2,4.700552061E0,3.424813477E0,-1.000000000E0
2.236097026E1,4.300245810E1,-7.879230157E1,1.786144266E2,1.439013352E2,1.677562354E0,2.094871918E2,3.454920018E-2,4.703003665E0,3.421446121E0,-1.000000000E0
2.336097002E1,4.300244812E1,-7.879230790E1,1.790385292E2,1.443254542E2,1.419647092E0,2.086056474E2,3.582582639E-2,4.693900818E0,3.433923724E0,-1.000000000E0
2.436097050E1,4.300243865E1,-7.879231676E1,1.790275196E2,1.443144594E2,1.331744812E0,2.114753495E2,3.735494569E-2,4.700418737E0,3.424996457E0,-1.000000000E0
2.536097014E1,4.300242618E1,-7.879232470E1,1.788473627E2,1.441343230E2,1.441834740E0,2.069734152E2,3.869731184E-2,4.701739000E0,3.423183811E0,-1.000000000E0
2.636097097E1,4.300241482E1,-7.879233029E1,1.785791965E2,1.438661759E2,1.378065535E0,2.025906863E2,4.044492909E-2,4.698935961E0,3.427030473E0,-1.000000000E0
2.736097145E1,4.300240093E1,-7.879234034E1,1.784305247E2,1.437175267E2,1.568954830E0,2.046455419E2,4.184292082E-2,4.700474561E0,3.424919843E0,-1.000000000E0
2.836097145E1,4.300239092E1,-7.879235073E1,1.784951590E2,1.437821763E2,1.426838543E0,2.106531872E2,4.364043149E-2,4.689774749E0,3.439556634E0,-1.000000000E0
2.936097133E1,4.300237883E1,-7.879236542E1,1.785425655E2,1.438296009E2,1.664167015E0,2.158500007E2,4.506988507E-2,4.695488854E0,3.431751952E0,-1.000000000E0
3.036097205E1,4.300236722E1,-7.879237295E1,1.783863093E2,1.436733639E2,1.515632532E0,2.170039176E2,4.659044342E-2,4.685348205E0,3.445584019E0,-1.000000000E0
3.136097205E1,4.300235870E1,-7.879238758E1,1.780731287E2,1.433601949E2,1.431281937E0,2.221720205E2,4.818261466E-2,4.687893321E0,3.442120458E0,-1.000000000E0
3.236097312E1,4.300235245E1,-7.879240519E1,1.776398888E2,1.429269619E2,1.511601075E0,2.340218418E2,4.932653472E-2,4.690944666E0,3.437960903E0,-1.000000000E0
3.336097360E1,4.300234381E1,-7.879241282E1,1.781776057E2,1.434646924E2,1.394449777E0,2.287208004E2,5.060722414E-2,4.691604546E0,3.437060346E0,-1.000000000E0
3.436097372E1,4.300233277E1,-7.879241735E1,1.783930298E2,1.436801352E2,1.143015065E0,2.176190428E2,5.253655116E-2,4.696892885E0,3.429830063E0,-1.000000000E0
3.536097467E1,4.300231671E1,-7.879242631E1,1.781927788E2,1.434799110E2,1.448327139E0,2.110428071E2,5.439061132E-2,4.700609930E0,3.424734051E0,-1.000000000E0
3.636097538E1,4.300230091E1,-7.879243361E1,1.787384317E2,1.440255906E2,1.443653322E0,2.085734342E2,5.582310843E-2,4.694662961E0,3.432881692E0,-1.000000000E0
3.736098492E1,4.300229032E1,-7.879244364E1,1.784542949E2,1.437414703E2,1.446561534E0,2.120034088E2,5.726738447E-2,4.696697869E0,3.430097106E0,-1.000000000E0
3.836097682E1,4.300227815E1,-7.879244983E1,1.783566325E2,1.436438283E2,1.390809692E0,2.072868074E2,5.905407734E-2,4.699178194E0,3.426698314E0,-1.000000000E0
3.936097753E1,4.300226541E1,-7.879246322E1,1.783367792E2,1.436239946E2,1.507597069E0,2.130216601E2,6.068372629E-2,4.704165985E0,3.419847865E0,-1.000000000E0
4.036097789E1,4.300225103E1,-7.879246709E1,1.780714264E2,1.433586667E2,1.429183668E0,2.051422109E2,6.272666776E-2,4.696953827E0,3.429746606E0,-1.000000000E0
4.136097980E1,4.300223306E1,-7.879246185E1,1.776253239E2,1.429125979E2,1.616667973E0,1.873740434E2,6.402619276E-2,4.704486224E0,3.419407317E0,-1.000000000E0
4.236098051E1,4.300222655E1,-7.879247511E1,1.779160338E2,1.432033162E2,1.463772005E0,1.971560370E2,6.536544035E-2,4.694055415E0,3.433712392E0,-1.000000000E0
4.336098075E1,4.300221595E1,-7.879248295E1,1.779688055E2,1.432561050E2,1.373938214E0,2.052674618E2,6.675285366E-2,4.695158559E0,3.432203831E0,-1.000000000E0
