"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.578916695E-3,-8.211025670E-3,-5.893367543E-3,-1.512844259E-1,1.516216681E-1
1.563691668E-2,-3.945134673E-3,3.914815946E-3,-1.434971040E-1,1.436046961E-1
2.569391672E-2,2.754769474E-4,4.752584905E-3,-1.446963680E-1,1.447746589E-1
3.575191670E-2,-6.824541204E-3,2.003137311E-3,-1.461897469E-1,1.463626626E-1
4.580991669E-2,-5.466360915E-3,-4.373443220E-3,-1.415499812E-1,1.417229879E-1
5.586691666E-2,3.988860883E-3,-5.687193805E-4,-1.423007637E-1,1.423577950E-1
6.592491671E-2,-5.221746303E-4,1.725207274E-3,-1.415534896E-1,1.415649654E-1
7.598291669E-2,-2.507889066E-3,-3.546989537E-3,-1.466440755E-1,1.467084030E-1
8.603991667E-2,-2.311769798E-3,1.954335901E-3,-1.476913118E-1,1.477223318E-1
9.609791671E-2,-8.245652150E-3,5.401306073E-3,-1.373616207E-1,1.377148493E-1
1.061559167E-1,-7.199201547E-3,-2.553931321E-3,-1.533783138E-1,1.535684154E-1
1.162129167E-1,-4.978831038E-3,-4.630094874E-3,-1.559230220E-1,1.560711868E-1
1.262709167E-1,-5.562419705E-3,-3.033466958E-3,-1.409535652E-1,1.410958893E-1
1.363289167E-1,1.504013501E-4,-9.622187214E-4,-1.430515462E-1,1.430548614E-1
1.463869167E-1,-7.680683210E-4,-6.754918224E-3,-1.452986312E-1,1.454575920E-1
1.564439167E-1,-2.448905278E-3,-4.626001823E-3,-1.557774264E-1,1.558653380E-1
1.665019167E-1,-1.641971245E-3,-5.003594910E-3,-1.472445846E-1,1.473387244E-1
1.765599167E-1,-5.783097278E-3,8.510700040E-3,-1.387140816E-1,1.390951929E-1
1.866169167E-1,9.066455048E-3,-1.946597476E-3,-1.517370003E-1,1.520200879E-1
1.966749167E-1,-1.257732432E-2,-3.704969427E-3,-1.572795761E-1,1.578251594E-1
2.067329167E-1,-5.628420152E-3,8.001000993E-4,-1.517422628E-1,1.518487195E-1
2.167899167E-1,3.965070024E-3,2.979837027E-3,-1.468031198E-1,1.468868857E-1
2.268479167E-1,-1.423120927E-3,-1.701494073E-3,-1.512931967E-1,1.513094568E-1
2.369059167E-1,-3.166523091E-3,-2.978562517E-3,-1.445536959E-1,1.446190503E-1
2.469629167E-1,-7.546197250E-4,1.723955604E-3,-1.457506210E-1,1.457627695E-1
2.570209167E-1,-3.242061809E-3,-9.539184161E-4,-1.458991402E-1,1.459382748E-1
2.670789167E-1,-9.521094337E-4,-1.815300076E-3,-1.482959139E-1,1.483100803E-1
2.771359167E-1,-7.272675466E-3,3.765944922E-3,-1.429071200E-1,1.431416050E-1
2.871939167E-1,-7.772740312E-3,-2.997072609E-3,-1.497939706E-1,1.500254364E-1
2.972519167E-1,-3.702146318E-3,2.760616690E-4,-1.568287557E-1,1.568726895E-1
3.073089167E-1,-7.572582811E-3,-7.354609575E-4,-1.468007809E-1,1.469978033E-1
3.173669167E-1,-1.104045678E-3,-5.991984489E-3,-1.436579025E-1,1.437870500E-1
3.274249167E-1,-6.913071703E-3,3.499791543E-3,-1.357238156E-1,1.359448168E-1
3.374819167E-1,-6.396068204E-3,4.400705863E-3,-1.482964987E-1,1.484995873E-1
3.475399167E-1,-4.259678330E-3,-5.621060883E-3,-1.415628451E-1,1.417384221E-1
3.575979167E-1,-1.088022480E-2,2.392036538E-3,-1.560832357E-1,1.564802787E-1
3.676549167E-1,-4.381684139E-3,6.370162298E-3,-1.506967807E-1,1.508949894E-1
3.777129167E-1,-3.442182764E-4,2.630301439E-3,-1.483041000E-1,1.483278229E-1
3.877705417E-1,3.535482399E-3,3.054329641E-3,-1.423165512E-1,1.423932207E-1
3.978275417E-1,-4.912373777E-3,1.838762029E-3,-1.445630515E-1,1.446581775E-1
4.078855417E-1,-4.181782454E-3,-1.710109580E-3,-1.547418845E-1,1.548078247E-1
4.179435417E-1,3.240855820E-3,1.365169538E-3,-1.397735971E-1,1.398178289E-1
4.280005417E-1,-2.879735436E-3,6.978880288E-4,-1.535443747E-1,1.535729629E-1
4.380585417E-1,-1.166285634E-2,2.346231826E-3,-1.397718430E-1,1.402772081E-1
4.481165417E-1,-3.562361319E-3,-1.210624888E-3,-1.399215317E-1,1.399721081E-1
4.581735417E-1,-2.600932885E-3,-2.133562197E-3,-1.477065146E-1,1.477448185E-1
4.682315417E-1,-8.120466918E-3,6.857719584E-3,-1.505506003E-1,1.509253244E-1
4.782895417E-1,-7.061974704E-4,3.530292995E-3,-1.495039487E-1,1.495472914E-1
4.883465417E-1,-8.013024330E-3,5.351846851E-4,-1.420189279E-1,1.422458114E-1
4.984045417E-1,-6.393820681E-3,-4.061855148E-3,-1.463628244E-1,1.465587117E-1
5.084625417E-1,-6.442955565E-3,-7.107665213E-3,-1.511534482E-1,1.514575699E-1
5.185195417E-1,-1.131052505E-2,2.357734395E-3,-1.429188144E-1,1.433850564E-1
5.285775417E-1,-7.328169197E-3,5.585155324E-3,-1.514499021E-1,1.517299208E-1
5.386355417E-1,1.817789711E-3,4.557941146E-3,-1.420195127E-1,1.421042616E-1
5.486925417E-1,9.481991082E-4,2.240785514E-3,-1.370792001E-1,1.371007925E-1
5.587505417E-1,-8.828838822E-3,2.722134702E-3,-1.500991952E-1,1.503832664E-1
5.688085417E-1,-4.252387583E-4,-9.799750708E-4,-1.460570151E-1,1.460609216E-1
5.788665417E-1,3.367082588E-4,-1.914328155E-3,-1.429129672E-1,1.429261845E-1
5.889235417E-1,-5.918697864E-3,6.875731749E-4,-1.527924228E-1,1.529085616E-1
5.989815417E-1,4.856295325E-4,7.593523152E-4,-1.460540915E-1,1.460568728E-1
6.090395417E-1,-2.029239647E-3,1.409736285E-3,-1.379679769E-1,1.379901005E-1
6.190965417E-1,-2.930843756E-3,-5.819642376E-3,-1.415575826E-1,1.417074708E-1
6.291545417E-1,-4.478601739E-3,-4.218026055E-3,-1.455974239E-1,1.457273463E-1
6.392125417E-1,-5.058864802E-3,1.259508524E-3,-1.479895198E-1,1.480813170E-1
6.492695417E-1,-3.165700827E-3,-1.669928245E-3,-1.442473018E-1,1.442916990E-1
6.593275417E-1,-1.227177076E-2,-2.818554374E-3,-1.533783138E-1,1.538942746E-1
6.693855417E-1,4.742457345E-4,-1.522016530E-3,-1.556207210E-1,1.556288863E-1
6.794425417E-1,-2.319480814E-3,4.334253171E-3,-1.541226643E-1,1.542010422E-1
6.895005417E-1,-3.364469614E-3,2.188219959E-3,-1.493349642E-1,1.493888867E-1
6.995585417E-1,-5.004010610E-3,-8.844005037E-3,-1.417008394E-1,1.420647192E-1
7.096155417E-1,8.860176243E-4,-6.060177642E-3,-1.411020845E-1,1.412349427E-1
7.196735417E-1,-1.260747403E-2,1.806821614E-3,-1.372107625E-1,1.378006036E-1
7.297315417E-1,-9.472361449E-3,-4.507435821E-3,-1.442467171E-1,1.446276530E-1
7.397885417E-1,2.552638538E-3,-2.516911137E-3,-1.512815022E-1,1.513239694E-1
7.498465417E-1,6.091300361E-3,1.376768039E-3,-1.614615047E-1,1.615822296E-1
7.599045417E-1,4.212370701E-3,-3.342154264E-3,-1.520322847E-1,1.521273469E-1
7.699615417E-1,-5.039459355E-3,3.419438009E-3,-1.479901046E-1,1.481153596E-1
7.800195417E-1,-4.853664078E-3,6.920367018E-3,-1.535280025E-1,1.537605186E-1
7.900775417E-1,-8.251663819E-3,-8.551781299E-4,-1.514311910E-1,1.516582569E-1
8.001345417E-1,-1.046001099E-2,3.316833079E-4,-1.542746919E-1,1.546292418E-1
8.101925417E-1,-5.733341128E-3,-2.434177604E-3,-1.358618098E-1,1.360045139E-1
8.202505417E-1,1.441667564E-3,2.718315739E-3,-1.466370589E-1,1.466693379E-1
8.303075417E-1,6.999482587E-4,3.050606609E-3,-1.421487361E-1,1.421831893E-1
8.403655417E-1,-1.471632717E-2,4.649632797E-4,-1.587635994E-1,1.594448713E-1
8.504235417E-1,-6.395044941E-3,1.159219639E-3,-1.470861250E-1,1.472296457E-1
8.604805417E-1,-4.336550944E-3,-5.233920389E-3,-1.538203633E-1,1.539704639E-1
8.705385417E-1,2.468749266E-3,-3.534851996E-3,-1.580081391E-1,1.580669540E-1
8.805965417E-1,-4.162815548E-3,3.472761875E-3,-1.514235896E-1,1.515206012E-1
8.906535417E-1,-9.784968216E-3,-1.417141235E-3,-1.467814851E-1,1.471140994E-1
9.007115417E-1,-8.209088780E-3,3.592003961E-3,-1.548652607E-1,1.551242747E-1
9.107695417E-1,-1.250408795E-3,3.697390887E-3,-1.523217219E-1,1.523717204E-1
9.208265417E-1,-1.972137932E-3,1.480903295E-3,-1.400460774E-1,1.400677914E-1
9.308845417E-1,-6.489532292E-3,-3.357306775E-4,-1.422919929E-1,1.424402962E-1
9.409425417E-1,-7.980627101E-3,5.833785329E-4,-1.541162324E-1,1.543238278E-1
9.509995417E-1,-2.294575330E-3,-5.866812961E-4,-1.484286457E-1,1.484475400E-1
9.610575417E-1,-1.941860318E-3,8.551096078E-5,-1.445349848E-1,1.445480542E-1
9.711155417E-1,6.060438026E-3,-5.258908099E-3,-1.533654499E-1,1.535752137E-1
9.811725417E-1,-3.822982684E-4,-8.790740557E-4,-1.497729206E-1,1.497759883E-1
9.912305417E-1,-3.089504298E-3,2.574136192E-3,-1.488753730E-1,1.489296743E-1
1.001288542E0,-5.534864701E-3,3.049213327E-3,-1.503699213E-1,1.505026434E-1
1.011345542E0,3.319555689E-3,-3.752998821E-4,-1.427352118E-1,1.427743009E-1
1.021403542E0,-7.763969488E-3,-2.193701724E-3,-1.499208552E-1,1.501377846E-1
