"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.243012498E-2,-4.387376404E-1,1.591789856E0,9.039103088E0,9.188670758E0
3.248712496E-2,-1.377136230E-1,1.291663971E0,9.881401520E0,9.966416450E0
4.254512500E-2,-1.571731567E-2,9.220825195E-1,1.059811111E1,1.063815973E1
5.260212498E-2,6.721023560E-2,5.795947266E-1,1.099373840E1,1.100921120E1
6.266012497E-2,2.722837830E-1,2.658471680E-1,1.102457428E1,1.103114007E1
7.271712500E-2,4.975653076E-1,1.300794983E-1,1.086201233E1,1.087418060E1
8.277512499E-2,4.824467468E-1,9.116043091E-2,1.042701691E1,1.043857014E1
9.283212497E-2,3.248245239E-1,3.742218018E-2,9.837842102E0,9.843274283E0
1.028891250E-1,1.854643250E-1,-5.538482666E-2,9.238638153E0,9.240665529E0
1.129471250E-1,2.469863892E-2,-6.451583862E-2,8.831484833E0,8.831755016E0
1.230041250E-1,-6.301895142E-2,1.197509766E-2,8.640182648E0,8.640420764E0
1.330621250E-1,-8.352630615E-2,9.744735718E-2,8.597820740E0,8.598778640E0
1.431191250E-1,-8.861572266E-2,1.227447510E-1,8.731792145E0,8.733104435E0
1.531771250E-1,-5.628295898E-2,1.475930786E-1,8.987610168E0,8.988998166E0
1.632341250E-1,2.035766602E-2,2.255809021E-1,9.350156250E0,9.352899180E0
1.732921250E-1,1.844165039E-1,3.833528137E-1,9.841284943E0,9.850475021E0
1.833491250E-1,3.971241760E-1,4.903802490E-1,1.048329987E1,1.050227387E1
1.934071250E-1,5.938151550E-1,4.996609497E-1,1.105780518E1,1.108500486E1
2.034641250E-1,6.709048462E-1,4.674778748E-1,1.149519562E1,1.152424276E1
2.135221250E-1,6.060896301E-1,3.635939026E-1,1.153546188E1,1.155709419E1
2.235791250E-1,4.974156189E-1,1.311273193E-1,1.105930206E1,1.107125913E1
2.336371250E-1,4.251159668E-1,-2.095642090E-2,1.031894165E1,1.032771609E1
2.436941250E-1,3.002755737E-1,1.184037781E-1,9.649384003E0,9.654781018E0
2.537511250E-1,2.164498901E-1,2.529739380E-1,9.157357178E0,9.163407491E0
2.638091250E-1,2.264790344E-1,1.821711731E-1,8.787925415E0,8.792730645E0
2.738661250E-1,2.986289978E-1,3.951782227E-2,8.522976379E0,8.528298031E0
2.839241250E-1,3.269201660E-1,-3.442840576E-3,8.440797272E0,8.447126567E0
2.939811250E-1,2.959346008E-1,-6.286926270E-3,8.520132294E0,8.525272495E0
3.040391250E-1,2.426454163E-1,-4.475692749E-2,8.777297516E0,8.780764868E0
3.140961250E-1,1.863624573E-1,-4.415817261E-2,9.137897644E0,9.139904500E0
